iter	Passed	Remaining
0	0	44
1	0	38
2	0	34
3	0	32
4	0	31
5	0	30
6	1	30
7	1	29
8	1	29
9	1	28
10	1	28
11	1	27
12	1	27
13	2	27
14	2	27
15	2	26
16	2	26
17	2	26
18	2	25
19	2	25
20	2	25
21	3	25
22	3	25
23	3	24
24	3	24
25	3	24
26	3	24
27	3	24
28	4	23
29	4	23
30	4	23
31	4	23
32	4	23
33	4	23
34	4	23
35	5	22
36	5	22
37	5	22
38	5	22
39	5	22
40	5	21
41	5	21
42	5	21
43	6	21
44	6	21
45	6	21
46	6	20
47	6	20
48	6	20
49	6	20
50	6	20
51	7	20
52	7	20
53	7	19
54	7	19
55	7	19
56	7	19
57	7	19
58	8	19
59	8	19
60	8	18
61	8	18
62	8	18
63	8	18
64	8	18
65	8	18
66	9	18
67	9	17
68	9	17
69	9	17
70	9	17
71	9	17
72	9	17
73	10	17
74	10	17
75	10	16
76	10	16
77	10	16
78	10	16
79	10	16
80	11	16
81	11	16
82	11	15
83	11	15
84	11	15
85	11	15
86	11	15
87	12	15
88	12	15
89	12	15
90	12	14
91	12	14
92	12	14
93	12	14
94	12	14
95	13	14
96	13	14
97	13	13
98	13	13
99	13	13
100	13	13
101	13	13
102	14	13
103	14	13
104	14	12
105	14	12
106	14	12
107	14	12
108	14	12
109	14	12
110	15	12
111	15	11
112	15	11
113	15	11
114	15	11
115	15	11
116	15	11
117	15	11
118	16	10
119	16	10
120	16	10
121	16	10
122	16	10
123	16	10
124	16	10
125	17	9
126	17	9
127	17	9
128	17	9
129	17	9
130	17	9
131	17	9
132	17	9
133	18	8
134	18	8
135	18	8
136	18	8
137	18	8
138	18	8
139	18	8
140	19	7
141	19	7
142	19	7
143	19	7
144	19	7
145	19	7
146	19	7
147	20	7
148	20	6
149	20	6
150	20	6
151	20	6
152	20	6
153	20	6
154	20	6
155	21	5
156	21	5
157	21	5
158	21	5
159	21	5
160	21	5
161	21	5
162	21	4
163	22	4
164	22	4
165	22	4
166	22	4
167	22	4
168	22	4
169	22	4
170	23	3
171	23	3
172	23	3
173	23	3
174	23	3
175	23	3
176	23	3
177	23	2
178	24	2
179	24	2
180	24	2
181	24	2
182	24	2
183	24	2
184	24	2
185	24	1
186	25	1
187	25	1
188	25	1
189	25	1
190	25	1
191	25	1
192	25	0
193	26	0
194	26	0
195	26	0
196	26	0
197	26	0
198	26	0
199	26	0
